BRAND;FUEL;MODEL;YEAR
TOYOTA;Бензин;CAMRY;2015
VOLKSWAGEN;Дизель;GOLF;2018
RENAULT;Електро;MEGANE;2017
SKODA;Бензин;OCTAVIA;2020
HYUNDAI;ГАЗ;TUCSON;2019
KIA;Дизель;SPORTAGE;2021
NISSAN;Електро;LEAF;2015
FORD;Бензин;FOCUS;2012
PEUGEOT;Дизель;3008;2018
HONDA;Бензин;CIVIC;2016
TOYOTA;Бензин;CAMRY;2015
VOLKSWAGEN;Дизель;GOLF;2018
RENAULT;Електро;MEGANE;2017
SKODA;Бензин;OCTAVIA;2020
HYUNDAI;ГАЗ;TUCSON;2019
KIA;Дизель;SPORTAGE;2021
NISSAN;Електро;LEAF;2015
FORD;Бензин;FOCUS;2012
PEUGEOT;Дизель;3008;2018
HONDA;Бензин;CIVIC;2016
TOYOTA;Бензин;CAMRY;2015
VOLKSWAGEN;Дизель;GOLF;2018
RENAULT;Електро;MEGANE;2017
SKODA;Бензин;OCTAVIA;2020
HYUNDAI;ГАЗ;TUCSON;2019
KIA;Дизель;SPORTAGE;2021
NISSAN;Електро;LEAF;2015
FORD;Бензин;FOCUS;2012
PEUGEOT;Дизель;3008;2018
HONDA;Бензин;CIVIC;2016
TOYOTA;Бензин;CAMRY;2015
VOLKSWAGEN;Дизель;GOLF;2018
RENAULT;Електро;MEGANE;2017
SKODA;Бензин;OCTAVIA;2020
HYUNDAI;ГАЗ;TUCSON;2019
KIA;Дизель;SPORTAGE;2021
NISSAN;Електро;LEAF;2015
FORD;Бензин;FOCUS;2012
PEUGEOT;Дизель;3008;2018
HONDA;Бензин;CIVIC;2016
TOYOTA;Бензин;CAMRY;2015
VOLKSWAGEN;Дизель;GOLF;2018
RENAULT;Електро;MEGANE;2017
SKODA;Бензин;OCTAVIA;2020
HYUNDAI;ГАЗ;TUCSON;2019
KIA;Дизель;SPORTAGE;2021
NISSAN;Електро;LEAF;2015
FORD;Бензин;FOCUS;2012
PEUGEOT;Дизель;3008;2018
HONDA;Бензин;CIVIC;2016
